name,mmr,roles
bopes, 8900, offlane(1)|soft_support(2)|carry(3)
Aegis1997, 4500, carry(1)|mid(2)|offlane(3)
nope, 3500, carry(1)|hard_support(2)|soft_support(3)
plutoski, 3100, carry(1)|mid(2)|offlane(3)
snappingturtle, 5700, soft_support(1)|hard_support(2)|offlane(3)
LeUnibers, 4550, offlane(1)|hard_support(2)|soft_support(3)
Chraos, 5100, carry(1)|hard_support(2)|soft_support(3)
Chase, 8400, soft_support(1)|hard_support(2)|offlane(3)
Miguel, 6000, mid(1)|offlane(2)|carry(3)
Chess, 5500, offlane(1)|soft_support(2)|hard_support(3)
SaltyWiji, 6300, soft_support(1)|hard_support(2)|offlane(3)
DdotHzlwood, 5200, hard_support(1)|soft_support(2)|offlane(3)
King, 6800, carry(1)|mid(2)|offlane(3)
nightly, 6500, offlane(1)|soft_support(2)|hard_support(3)
mei xian, 7000, mid(1)|offlane(2)|carry(3)
Kai, 3500, offlane(1)|carry(2)|hard_support(3)
TinTin, 6700, mid(1)|carry(2)|offlane(3)
wololo/enning, 7300, mid(1)|carry(2)|soft_support(3)
joetayu, 7120, offlane(1)|hard_support(2)|soft_support(3)
Eric, 4800, mid(1)|offlane(2)|carry(3)
Jeiv, 7900, offlane(1)|carry(2)|soft_support(3)
Hikari, 6400, offlane(1)|soft_support(2)|hard_support(3)
SnowBread, 9100, offlane(1)|mid(2)|soft_support(3)
AnnotheCaster, 5800, mid(1)|carry(2)|offlane(3)
Wegsy, 6200, offlane(1)|hard_support(2)|soft_support(3)
Aya, 5000, mid(1)|offlane(2)|carry(3)
